N,P,K,temperature,humidity,ph,rainfall,indice
111.0,29.0,31.0,26.06,52.311,6.136,161.343,0.856
119.0,30.0,28.0,26.358,64.576,6.505,163.627,0.821
116.0,40.0,33.0,24.914,54.153,7.042,129.548,0.678
95.0,37.0,35.0,27.313,68.423,6.348,192.429,0.752
86.0,40.0,33.0,26.139,52.263,7.432,136.303,0.58
117.0,37.0,32.0,23.107,67.062,6.788,162.577,0.791
105.0,18.0,35.0,23.526,68.44,6.743,171.884,0.782
109.0,23.0,25.0,25.117,68.48,7.007,194.877,0.615
80.0,18.0,31.0,24.03,58.849,7.303,134.68,0.56
101.0,31.0,26.0,26.709,69.712,6.861,158.861,0.674
103.0,33.0,33.0,26.717,50.501,7.131,126.807,0.663
93.0,26.0,27.0,24.592,56.468,7.288,137.704,0.694
104.0,35.0,28.0,27.51,50.667,6.984,143.996,0.6
116.0,36.0,25.0,27.578,58.525,6.172,156.681,0.691
107.0,38.0,29.0,26.651,57.567,6.351,145.105,0.797
101.0,33.0,33.0,26.973,62.018,6.909,142.861,0.724
107.0,31.0,31.0,23.171,52.978,6.766,153.12,0.8
99.0,16.0,30.0,23.527,65.443,6.393,186.173,0.781
103.0,40.0,30.0,27.309,55.196,6.348,141.483,0.765
118.0,31.0,34.0,27.548,62.882,6.124,181.417,0.798
106.0,21.0,35.0,25.627,57.042,7.429,188.551,0.731
116.0,38.0,34.0,23.293,50.046,6.021,183.469,0.799
97.0,35.0,26.0,24.915,53.741,6.335,166.255,0.79
107.0,34.0,32.0,26.775,66.413,6.78,177.775,0.774
99.0,15.0,27.0,27.417,56.636,6.087,127.925,0.649
118.0,33.0,30.0,24.132,67.225,6.363,173.323,0.88
117.0,32.0,34.0,26.272,52.127,6.759,127.175,0.781
104.0,18.0,30.0,23.603,60.396,6.78,140.937,0.773
107.0,26.0,39.0,24.097,68.955,6.25,159.385,0.88
104.0,34.0,39.0,24.969,60.453,6.269,137.143,0.88
108.0,28.0,37.0,23.298,72.014,6.064,133.937,0.864
113.0,25.0,36.0,23.672,57.991,6.246,157.237,0.88
104.0,30.0,42.0,23.608,67.934,6.259,146.648,0.88
104.0,24.0,44.0,22.536,75.952,6.057,160.71,0.832
113.0,29.0,40.0,24.296,60.047,6.573,157.099,0.862
109.0,22.0,43.0,24.261,62.169,6.295,148.908,0.88
103.0,24.0,41.0,24.005,65.498,5.962,137.298,0.88
108.0,29.0,38.0,23.765,62.483,6.331,127.277,0.88
103.0,30.0,41.0,22.585,57.247,6.005,143.302,0.88
103.0,29.0,45.0,23.579,65.343,6.357,162.846,0.88
106.0,28.0,40.0,23.657,59.688,6.432,153.211,0.88
95.0,27.0,45.0,23.198,67.368,6.036,131.314,0.88
96.0,24.0,32.0,23.839,60.403,6.393,152.598,0.88
102.0,26.0,42.0,24.404,72.75,6.283,155.78,0.858
100.0,27.0,40.0,25.886,61.084,6.364,136.742,0.88
107.0,31.0,39.0,24.175,63.39,6.579,152.306,0.861
100.0,29.0,40.0,24.258,69.068,6.151,150.873,0.88
98.0,23.0,34.0,23.926,58.846,6.049,132.855,0.88
112.0,29.0,39.0,22.081,66.137,6.022,155.367,0.88
104.0,27.0,41.0,23.973,71.536,6.037,158.412,0.868
105.0,26.0,44.0,24.06,56.963,6.185,166.246,0.88
98.0,30.0,38.0,26.463,65.923,6.268,165.807,0.857
102.0,31.0,38.0,23.808,66.299,6.255,129.335,0.88
106.0,31.0,38.0,24.302,68.909,6.365,135.933,0.88
99.0,25.0,43.0,23.965,58.815,6.203,157.726,0.88
107.0,27.0,41.0,22.831,58.398,6.491,157.707,0.88
102.0,29.0,38.0,25.143,67.61,6.147,157.726,0.88
104.0,31.0,42.0,24.752,66.485,6.744,207.791,0.72
93.0,18.0,34.0,25.171,54.939,6.804,106.524,0.767
96.0,20.0,26.0,25.44,50.514,7.007,127.379,0.644
95.0,22.0,33.0,26.747,55.379,6.678,100.197,0.8
93.0,23.0,30.0,26.61,51.614,6.78,147.472,0.755
88.0,16.0,27.0,25.979,59.876,6.838,137.692,0.627
94.0,19.0,31.0,26.117,54.265,6.62,112.962,0.82
86.0,19.0,31.0,27.278,50.873,6.745,94.303,0.618
89.0,18.0,28.0,25.408,53.393,6.703,140.308,0.723
88.0,25.0,30.0,26.547,57.065,6.72,118.282,0.768
90.0,21.0,29.0,25.798,52.181,6.545,138.567,0.827
102.0,16.0,30.0,25.782,50.889,6.705,96.084,0.702
81.0,23.0,32.0,27.099,56.218,6.8,111.009,0.609
93.0,26.0,35.0,26.825,56.225,6.99,120.079,0.718
82.0,23.0,26.0,26.814,52.465,6.892,120.705,0.517
88.0,15.0,36.0,27.305,52.645,7.131,113.249,0.544
95.0,19.0,24.0,26.021,56.16,6.547,129.343,0.748
90.0,24.0,30.0,26.682,47.76,6.874,103.986,0.698
85.0,18.0,32.0,25.69,47.963,6.737,117.864,0.647
86.0,21.0,31.0,26.324,51.408,7.138,121.804,0.651
93.0,22.0,28.0,25.87,53.933,6.538,127.717,0.822
86.0,17.0,29.0,26.097,56.555,6.532,130.674,0.723
91.0,20.0,29.0,26.595,62.377,6.58,103.13,0.811
90.0,10.0,28.0,25.182,59.288,6.275,96.988,0.728
87.0,17.0,33.0,28.092,54.2,6.595,139.165,0.638
101.0,19.0,31.0,24.994,54.905,6.548,124.985,0.848
93.0,16.0,28.0,24.786,49.987,6.73,108.773,0.665
80.0,25.0,33.0,27.158,54.907,6.768,143.267,0.597
91.0,16.0,31.0,26.792,53.557,7.075,121.735,0.629
87.0,19.0,32.0,26.624,56.614,6.89,137.689,0.687
94.0,20.0,32.0,26.628,50.864,6.585,121.013,0.795
80.0,10.0,20.0,31.27,44.178,7.504,261.355,0.0
79.0,13.0,17.0,30.95,34.351,7.835,236.168,0.0
69.0,7.0,15.0,30.761,42.649,7.565,263.044,0.0
75.0,12.0,21.0,30.092,47.208,7.456,270.335,0.016
73.0,8.0,18.0,30.423,27.642,7.666,256.202,0.0
77.0,8.0,16.0,31.755,36.016,7.058,278.152,0.0
65.0,10.0,18.0,31.501,42.885,7.547,238.393,0.0
73.0,7.0,17.0,30.022,38.985,7.654,231.33,0.0
75.0,8.0,25.0,31.099,41.856,7.204,223.319,0.0
61.0,6.0,23.0,31.751,36.98,7.729,272.441,0.0
64.0,16.0,20.0,29.331,40.433,7.568,259.815,0.051
60.0,10.0,24.0,31.543,39.222,7.417,249.166,0.0
69.0,8.0,20.0,30.337,45.839,7.627,254.2,0.006
74.0,11.0,17.0,31.571,41.272,7.954,233.118,0.0
78.0,10.0,25.0,30.237,41.688,7.536,286.686,0.0
70.0,9.0,22.0,29.195,37.941,7.55,251.938,0.034
78.0,12.0,17.0,29.372,37.562,7.408,251.641,0.024
63.0,12.0,19.0,31.048,37.837,7.33,260.886,0.0
61.0,8.0,17.0,31.26,41.972,7.666,257.215,0.0
70.0,8.0,16.0,30.096,37.895,7.329,253.358,0.0
72.0,9.0,23.0,31.639,41.449,7.514,238.143,0.0
70.0,3.0,26.0,29.338,50.377,7.404,257.072,0.086
60.0,5.0,16.0,30.934,44.356,7.596,278.23,0.0
70.0,14.0,22.0,29.789,38.37,7.567,270.181,0.009
63.0,15.0,18.0,30.348,46.006,7.708,273.898,0.007
73.0,9.0,19.0,31.047,37.96,7.398,242.332,0.0
72.0,12.0,18.0,30.14,29.809,7.446,235.156,0.0
65.0,11.0,17.0,30.615,34.96,7.304,248.113,0.0
67.0,19.0,20.0,32.006,30.646,7.411,250.836,0.072
65.0,13.0,18.0,30.423,38.242,7.575,266.413,0.0
6.195707561963165,23.272011125631654,64.6265791853226,161.28677659669455,93.29378886807699,22.791281972550728,38.51136161266914,0.88
6.102563611148463,23.988239189747,59.01434625349247,160.55277569835394,109.66675161257369,28.264122790244866,42.508964827872134,0.88
6.220126401337807,23.398495275981734,63.29062774428875,138.493408790052,110.27070180784364,27.80029635605499,37.26055054581896,0.88
6.047860568339409,24.855778937071822,61.459146812759194,144.8600661340427,102.88719869707062,30.129236742213394,39.461776257456314,0.88
6.211909891739398,24.30157470210552,69.49576660304662,145.1230198033846,101.92654362557077,24.744909087008487,40.46391769030198,0.88
6.319345843908134,23.920236779641588,59.05945233063115,140.1062254117051,108.90355672694821,30.973016684813768,40.17261707322078,0.88
6.050173543906697,24.162512926146704,62.408400331992546,152.62426316074814,110.22857266768914,28.89438219509873,40.71565425228758,0.88
6.160136860423334,24.20238357908299,64.2095087904349,132.514130161732,103.08197270185619,26.11850938282882,35.444488607026635,0.88
6.108728662315998,25.046458917864076,58.969591095073646,161.61934025509777,94.90278137030518,26.6604598800569,38.651012260420025,0.88
6.2379333497038925,24.497858605854997,64.77671532319974,145.81529913301875,102.22588924401259,31.431903525028616,37.23478270047354,0.88
5.958647051499312,23.206698950197563,58.78191699899436,155.96592892864516,105.8545544164234,30.76194141627107,36.290989414653865,0.88
6.173780953661508,24.437913275777134,60.91728711097917,155.48130285068893,101.0284443536001,26.54778461373971,36.473048424006684,0.88
5.970624053161645,24.340880736549906,60.357091809290466,150.14992942473225,107.88447995343546,29.786124704119775,40.66154043589115,0.88
6.1352271773235865,23.70369118156909,61.720986261827605,129.75198679250366,96.31732516546148,22.709201550582392,34.011012689594075,0.88
6.209966134008516,23.366164661247957,60.676431060862136,165.59073957343278,102.86241617363144,30.950062273868348,34.26552927996049,0.88
6.119184366319856,23.334984561562592,60.81338423434803,160.08369764948876,94.63607746084591,29.73769457418343,38.95094240932911,0.88
6.060877506645481,22.987759501928082,62.252453276998544,143.64608749123437,106.39605726812822,28.087408582093772,44.40711556528366,0.88
6.114096655879047,23.283551755164694,62.627464722347106,152.63996020766118,113.15512545144261,31.340444983658315,39.42748423659804,0.88
6.369495433682935,23.167865861974004,59.76086963537588,138.8810887031337,102.66114118106539,22.493255409774765,40.540603787257616,0.88
6.2121614149913995,23.307323315977694,54.53783801744042,153.21253754812602,100.12235342813804,26.33857095928126,35.55161280376077,0.876
6.128881367037542,24.74618616155135,62.5496699860587,148.09638195553575,98.78607748304513,21.30126822118257,36.05476836370668,0.88
6.141932617377252,25.23755093950592,62.4559608251551,161.7928741322767,102.00422640876509,23.2602249343319,34.139532951070514,0.88
6.0412160903196375,25.489928812704616,59.12514662271465,160.06187044483613,99.58243693147784,31.726292051496976,39.539803864423455,0.88
6.126504315351287,23.971466231705197,59.70824306599713,155.35286641778498,102.27009911795533,23.097576944931006,32.888249702721524,0.88
6.175888187658319,25.105363879487303,62.559970647507036,148.5763400866814,106.71495683761526,33.2240069668273,38.87753000545543,0.88
6.08836091537494,24.77440209704192,63.500647534615645,168.4290719039519,106.09940662333143,23.102123873118,32.52736320301734,0.88
6.397639189834687,25.206566004548307,61.371682753510896,145.40175214636815,113.7686657534532,23.57181727182605,34.42109192417669,0.88
6.246499019203357,23.723776413998287,61.98207346647975,148.03868521770585,107.0254472927936,33.629927445254864,38.362339627606985,0.88
6.246590818991529,22.564879529278283,61.829485593244584,139.88123675648555,97.68712163745823,24.487390532284998,36.66350623719675,0.88
6.287385381353403,23.071525097582306,62.10721022408046,144.18996679999705,103.03396143382824,32.011031301218416,40.1524617480157,0.88
6.350609716116412,23.89184602452507,59.56420085915254,147.31369419743402,106.45498074762733,28.706293433814842,33.662447711066534,0.88
6.1635734672441815,24.159759831097233,70.81115913136873,172.52213533538003,99.88053989664708,26.850466553803294,32.14623199265199,0.874
6.0613939479054775,24.220923502513237,66.22048767310882,141.2509939470767,101.07512135959323,19.41084388104538,37.34933631782037,0.868
5.990637838221066,23.62939240084375,58.93098727641344,148.86884934896932,94.45362965186021,22.131819018436037,46.516988448113196,0.87
5.956886612808896,23.232250095081753,68.42919734912459,184.86080603088487,97.97060022704795,26.527004172847878,39.366222203762035,0.862
6.409304646660839,23.309200045100233,61.14152753920261,159.32805091274093,107.60859644679971,26.495375715079604,37.46470814193584,0.88
5.943765628744503,23.833278379217735,61.06764378496866,152.78603867551507,101.6680366870859,29.886154090180558,42.05086327127931,0.88
6.173314399150271,24.246229485879443,62.18604371652253,150.00101271709698,100.67065179874291,29.265977046693234,37.61085360634604,0.88
6.463975246339589,25.10134843173267,63.35046293394775,140.8433134836628,98.32553116809949,32.76457181235546,39.05099690058855,0.88
6.222021510508742,22.778789809118067,65.24603468545364,155.45304405857235,98.33741589351314,26.113900770200203,39.054868817426076,0.88
6.114472460323547,24.123558694960714,63.035978963904846,145.53702502414453,94.4596693051285,29.311981934856437,44.90940085665674,0.88
5.91992078926258,24.604679609588732,60.850161719069874,149.26410785005382,98.6826089357763,26.662175310576494,43.20017837879583,0.88
6.2373982862981565,25.21261812378696,66.12094161142193,155.26904014715493,115.46360715700675,29.755972634953196,41.31195270718823,0.88
6.1055143569697945,24.046582071101444,59.55901661844903,161.87500721513823,97.9301782613108,31.129401369670646,37.237395769979365,0.88
6.325687064020098,24.525608292111883,68.3722615517638,158.76929629366373,95.56775846608056,27.732187308407198,33.31197122962074,0.88
6.072258023645059,25.057859903293703,64.23136833814193,141.61283485705505,98.91769580135761,28.131128371505042,33.13375940247549,0.88
6.049328958390513,24.21840663008587,66.04359212637344,157.30513766669327,91.2522629484114,29.21746691612104,38.28813429293031,0.88
6.212083542805904,25.131346777155844,54.7786660311834,142.90675889770674,108.54543793676012,21.67362240218423,43.90379619221404,0.878
6.205253491905099,24.592608790090384,60.001697184673716,159.76516427959453,111.41082933593422,28.931512080548675,38.937603570794785,0.88
6.190551485892259,23.395658314682432,61.48364961915876,148.1697296105717,107.30036318612098,31.999296987641177,33.76585567208636,0.88
6.131248645452064,25.03701888336128,59.39744119915603,140.13299979251616,106.21383715098716,31.37754076194128,38.045704222242634,0.88
6.349344088565549,24.599755787796568,64.94637023411522,156.64939801588912,118.96591860207651,27.17935324453582,29.985910831733946,0.88
6.390638154227571,23.679610398330222,62.377581555200614,165.71460821832633,95.38644275364645,22.993411143575443,31.594888251524587,0.88
6.030879556496187,24.307745624211897,63.8346574498447,153.31529015194263,96.5234046966458,18.759586253469422,38.21741434156153,0.855
6.07923359495425,24.321570040201628,64.45683769177444,151.6588971847042,109.56079851225512,28.916845496460272,40.120258822405866,0.88
6.044299010569518,23.87427201031798,62.68871633829935,159.84634170500902,102.63755296665256,30.084669022928452,36.93664483233849,0.88
6.132368674900781,24.58066332941685,55.024288701310454,134.44233206310287,96.10688761534308,18.66553552060678,35.28694223937929,0.853
6.262415084959161,23.800581153532196,62.692265286796484,163.0706099605295,112.96611679360615,27.72344826109544,43.41434355827759,0.88
6.163818998765117,23.413821243320776,59.91959876730443,132.2335618492198,99.67119687759809,26.567933247702282,41.21434007751441,0.88
6.408115474674898,23.032472939236072,63.37489613890972,137.51347273010958,107.84818253077921,27.475653397249094,30.67637669660988,0.88
6.289244548735273,23.57649950103389,60.13134916569256,137.16297106452373,101.07430033987467,29.71156176277967,37.24302263625438,0.88
6.199299300342372,24.25334529775019,66.62231579434858,145.88656618962744,96.13885309892561,32.26888966628793,36.674047311610984,0.88
6.317188866686607,24.26836397922773,61.54101864428829,154.18531072855555,116.7060753607578,36.30792211621501,38.27752454053112,0.867
6.174028588997562,24.75336811022647,59.040186385314286,153.99684447141905,104.84482291227687,29.255632845830213,34.66652477620238,0.88
5.911564876003655,22.548911594806096,58.08915560453637,144.49589658072802,103.24085048010743,35.74892464971807,42.42397347962919,0.873
6.005686332548756,24.24339591671567,60.57522617277386,146.58763394351885,106.1119538964923,30.476684467901574,36.64296606446394,0.88
6.3095777299101545,23.200643241700316,62.02218671826794,181.17208471914998,106.33847845575166,33.732858026424694,38.366080712692835,0.876
6.23711656429947,23.960251763925115,61.403573465925284,140.64621123929496,107.58180815374531,24.59385124325693,40.66234094525372,0.88
6.312793050666887,24.25657198506606,60.998129432555075,155.44758695170435,103.14796166672153,31.742188501860596,30.674375663139507,0.88
6.099658894782204,22.606431603413203,56.76728709420478,166.3663467577669,110.37110989183012,25.122079066860838,31.989986175836414,0.88
5.705320674323753,23.619553144447156,70.4714525428659,155.21861125756377,101.64256628370306,29.860320838001225,31.75616658802223,0.854
6.105401495595355,24.069634231111017,61.69864771862633,159.48967346028095,107.06787135741631,30.67330407243199,35.246510871076964,0.88
6.284672311261582,25.140255863336794,58.604476681220056,139.3476521314253,113.0147060179214,27.234624053219758,43.61528556826623,0.88
6.083619643216172,25.018531903389498,62.46020035881908,153.09874587987235,114.38830813001942,26.552918090223315,34.235511616300165,0.88
6.032015133734375,22.81947229413613,59.108196867726164,152.97199081330731,103.92464024730147,26.98648972420794,37.363260514479755,0.88
6.180508236092992,23.294024770639826,64.47397374314667,157.95199164462582,107.3102276259366,30.226133771005053,39.185672003234636,0.88
6.4552609954096605,23.939034080263244,60.92520873582898,140.95766903571146,98.80642397653298,23.0221128495957,34.444810747076325,0.88
6.13939794275219,24.2340065899484,62.178997204932564,140.81357667084345,110.40110738411978,30.95765068920379,37.36140677031193,0.88
6.052062578300293,24.38389954458086,62.657907556201366,132.62247288701943,104.59211846409357,29.048143248297524,34.40122085404899,0.88
5.9765478509602,23.794354755893508,58.247534425005995,158.5727577915679,116.98377918448796,23.293541122282793,34.65014638365923,0.88
6.18531725524649,25.127781303949735,57.72168990611034,152.9884334676833,115.92779310487865,21.39296340728293,32.875723172616674,0.88
6.086459009030874,23.635588111001212,64.84410450713776,152.89991663785005,94.35022764214723,30.061641611603243,35.6898444505774,0.88
6.341167082541186,23.560688724494156,59.77184650914217,156.49357932965438,109.57755889402162,29.792397455744815,31.25761073046077,0.88
6.230705165989238,23.27598436382792,62.82346639055892,132.91518677521128,107.67793288525839,24.77360438277051,32.86946139895791,0.88
6.25707302047236,24.169151165173727,59.85108119512486,167.41414618825277,102.35608547058155,28.12843069588374,39.075653790714405,0.88
6.391640549251784,25.7845295668249,60.58155757092734,126.75794351255777,103.13709614282433,26.855108200637325,37.240304635910974,0.88
5.982991793711723,24.405692799733533,63.8357758135013,132.06713256216833,109.19518039016933,36.210739927783564,38.68784132974824,0.868
6.099401225689724,23.900597749914734,64.15339868438997,129.23194073391338,105.98634421786382,26.43814420214876,45.39130005182418,0.877
6.123874089929257,25.167521327783664,58.136907557762974,157.0471100016335,106.91640158274737,24.52381100854087,38.70958445854776,0.88
6.3318778255247405,23.77334580699938,56.07813072790583,149.78924608227064,99.58546143124492,26.63063624534447,37.67364892125951,0.88
5.894152167597673,22.869039162475524,63.68723392433934,143.72737564596383,89.6115339490766,31.13937614643254,39.089479021096956,0.874
6.042918776394528,23.07821885225923,64.92532763710018,154.19220747072515,119.29561369610444,29.68075439489975,39.55081256504806,0.88
6.124960810483715,24.571743107040554,64.18779820436853,165.02070010278234,101.8720624881763,26.25837010822415,36.08358731635208,0.88
6.268620258176849,25.04886210820771,60.39405827397745,144.90271526648291,106.8844633432188,27.016953999948395,41.80821461255956,0.88
5.8122334064071435,23.421306467158175,59.26154283113494,122.15572785136627,99.21816933378717,24.339375536616295,37.195581381924676,0.88
6.31694488374904,23.828457544166508,58.392151979050965,149.31654550543766,111.2950417286481,24.09616473554038,34.357700464314206,0.88
6.233782343891134,23.84492471898844,64.26619641748316,149.83623849845645,109.2099818885374,23.85968754383744,37.95166139684693,0.88
6.118396497845527,23.148876353127108,56.52782718245959,158.22898842329593,102.89428570669213,23.91087887341068,37.61528425230667,0.88
6.319202828602395,22.403483508239653,56.761764585338355,138.9253626972568,113.76707320032197,29.130347931677186,41.069268961844905,0.88
5.978975862131065,23.21632488731063,63.567348008529486,150.69929197122536,108.29243291318475,27.249316036286192,39.112574905818505,0.88
6.173717862735767,24.544437172359448,64.82452898680565,130.56153606729876,91.51638866795487,32.00698159060603,42.75090037304775,0.88
5.996906547072999,22.69811521541806,62.3466218735252,161.17005871620634,115.78556713460588,30.065190288405805,36.51313321365722,0.88
6.016030406762271,24.008015904169458,60.9525735364016,137.81918513125422,117.29253390517972,35.14067360828852,42.54419473422171,0.879
6.011872440328631,24.598513527008095,64.23869243324266,155.31054749044864,112.49799160226266,30.54148457144511,40.96005694521734,0.88
6.245535942505832,24.238553985601474,55.757361046000355,151.0034529289267,101.66284824690524,22.880636169439917,44.727266477203294,0.88
6.409349301132856,24.95145442020693,62.89324695899556,166.20750145143188,105.07231908361095,28.81118910759112,33.626114518152065,0.88
6.209548695674826,24.042270149897092,57.44071759107938,149.38563465820084,104.52162261685915,35.19024466657856,41.576853314053636,0.878
6.15171681586372,24.17415111686076,62.15474332336469,147.56503218245342,98.50543681567028,27.395792489572283,35.01560697338995,0.88
5.962452669161529,24.357855270183276,63.369426309766325,128.55950986358306,104.26389217502924,31.982805543599696,42.236894955585285,0.88
6.303875526432786,24.027239244831023,59.04234135210797,136.99561407170327,107.06762942850214,29.51712013746065,43.14932444642026,0.88
6.314996947551313,23.90743994042818,57.645279423986956,146.17072083586922,106.30338716886315,27.191667018442384,35.68842356768938,0.88
6.187932722245486,23.647229581012574,59.80176870696119,153.73743401164128,102.58804451922477,28.976417555913407,39.092816091408494,0.88
5.979085649836264,23.66313121329421,67.03221928970761,136.05504584718855,92.30007330617681,20.552619387029953,38.11643978630668,0.88
6.154637591704905,23.917672401202417,66.24966440124976,117.92598680276475,107.37560324658494,34.245752807214295,33.488876940433144,0.88
6.093029023231516,23.472975657939966,58.86978883872865,146.08485593972352,113.56491170210703,35.34954670195008,36.65624309983941,0.877
6.277692836226719,23.504914829033975,65.3914925459655,145.6580095549879,102.06149890259275,31.634405439568447,38.124342351084614,0.88
6.191786387176771,24.009789655305706,63.17804094311902,155.0995907692338,93.37819840376751,30.666290674438134,34.071922320678794,0.88
5.933655129666088,23.959112129298923,62.29393351160059,141.67792602513262,109.98619114600784,22.63129933451637,36.372225004909765,0.88
6.06226887976005,23.967388910762462,62.97602499626534,137.90528460451748,109.34569606473737,28.2520094733388,30.432214986752356,0.88
5.856211283940445,23.99137649494948,61.22661438774776,148.7589586371044,104.8321052608187,28.902239358040724,41.7905984393932,0.88
5.894401070608444,23.416874294042792,60.04794889376675,145.0993364729433,105.2314867378855,26.75301467671021,42.19735844217363,0.88
6.048597404147795,23.39637742836712,63.676064384821615,131.57229516088657,107.33815023192001,28.410212734905066,37.41023004032733,0.88
6.38824141607239,23.5644547882937,69.21104359683427,147.2948226092628,97.33790133017862,28.2796783239793,33.69501919872493,0.88
6.037236622827975,24.277923310010845,63.944537310275436,142.5339875969489,110.9244308702784,32.63003103208454,43.74520702625316,0.88
6.229412011068859,24.95440009845999,55.417205502090795,146.18512141645846,99.79796846205944,28.476903444509567,35.71420312321305,0.88
6.125076323707541,25.317522416142836,61.405980712528674,154.96550780628257,103.60638402045458,28.302853151827335,38.02406672174428,0.88
6.217248609895974,24.815715274883022,67.76587899161166,153.71544098291,108.53728131621361,23.396541963257732,37.64849303033752,0.88
6.291043419732539,24.60617804689201,62.740634064782675,160.63672751481542,107.94460025396292,32.801225033037284,39.157436627828446,0.88
6.22162940059002,23.18629985390205,59.50764285342372,166.44649186336957,102.09581921056395,36.97168124961194,37.992320587294614,0.86
6.2112054265321905,25.131812078949025,62.45859490667697,137.9718722317104,104.34163528983426,27.857557055239635,32.541033391193736,0.88
6.111625189298877,23.480465534201794,65.23525215015601,150.41534249022305,103.30322550511458,27.575272277509693,38.89248807362466,0.88
